phy.species,depth_cat,habitat3,benthic,sociality.3,sociality.bin,depth.max,depth.min,depth.range,depth.mean,lat.range,lifespan.max,lifespan.min,matage.max,matage.min,defense.repertoire,foraging.repertoire,cog2,diet.breadth,predator.breadth,WoS,articles.read,lifespan.mean,matage.mean,pos.latmean,eq.dist,CNS_measure,CNS_value,ML_measure,ML_value
Chtenopteryx_sicula,2,0,0,1,0,0.274,0.855,0.212,0.304,0.705,NA,NA,NA,NA,NA,NA,NA,-2.028,-1.54,-0.437,-0.266,NA,NA,-0.242,0.051,CNS.2,NA,ML.2,NA
Chtenopteryx_sicula,2,0,0,1,0,0.274,0.855,0.212,0.304,0.705,NA,NA,NA,NA,NA,NA,NA,-2.028,-1.54,-0.437,-0.266,NA,NA,-0.242,0.051,CNS.3,NA,ML.3,NA
Cirroteuthis_muelleri,4,2,1,1,0,1.211,0.962,0.66,1.206,-0.599,NA,NA,NA,NA,NA,0.236,-0.957,NA,-1.54,-0.692,-0.633,NA,NA,1.726,0.575,CNS.1,-1.471,ML.1,-0.005
Cirroteuthis_muelleri,4,2,1,1,0,1.211,0.962,0.66,1.206,-0.599,NA,NA,NA,NA,NA,0.236,-0.957,NA,-1.54,-0.692,-0.633,NA,NA,1.726,0.575,CNS.2,NA,ML.2,NA
Cirroteuthis_muelleri,4,2,1,1,0,1.211,0.962,0.66,1.206,-0.599,NA,NA,NA,NA,NA,0.236,-0.957,NA,-1.54,-0.692,-0.633,NA,NA,1.726,0.575,CNS.3,NA,ML.3,NA
Cirrothauma_murrayi,4,1,1,1,0,1.21,1.024,0.622,1.264,0.189,NA,NA,NA,NA,-0.575,NA,NA,NA,NA,-0.618,-0.633,NA,NA,1.372,0.524,CNS.1,-1.749,ML.1,0.864
Cirrothauma_murrayi,4,1,1,1,0,1.21,1.024,0.622,1.264,0.189,NA,NA,NA,NA,-0.575,NA,NA,NA,NA,-0.618,-0.633,NA,NA,1.372,0.524,CNS.2,NA,ML.2,NA
Cirrothauma_murrayi,4,1,1,1,0,1.21,1.024,0.622,1.264,0.189,NA,NA,NA,NA,-0.575,NA,NA,NA,NA,-0.618,-0.633,NA,NA,1.372,0.524,CNS.3,NA,ML.3,NA
Cranchia_scabra,3,0,0,1,0,0.617,-1.227,0.415,0.561,0.519,-0.794,0.16,NA,NA,-0.575,NA,NA,NA,0.236,-0.149,-0.161,-0.512,NA,-0.414,-0.13,CNS.1,0.32,ML.1,0.606
Cranchia_scabra,3,0,0,1,0,0.617,-1.227,0.415,0.561,0.519,-0.794,0.16,NA,NA,-0.575,NA,NA,NA,0.236,-0.149,-0.161,-0.512,NA,-0.414,-0.13,CNS.2,NA,ML.2,NA
Cranchia_scabra,3,0,0,1,0,0.617,-1.227,0.415,0.561,0.519,-0.794,0.16,NA,NA,-0.575,NA,NA,NA,0.236,-0.149,-0.161,-0.512,NA,-0.414,-0.13,CNS.3,NA,ML.3,NA
Discoteuthis_laciniosa,2,0,0,1,0,0.152,0.819,0.163,0.169,-1.168,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-1.996,-1.956,NA,NA,0.382,0.323,CNS.1,0.062,ML.1,-0.467
Discoteuthis_laciniosa,2,0,0,1,0,0.152,0.819,0.163,0.169,-1.168,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-1.996,-1.956,NA,NA,0.382,0.323,CNS.2,NA,ML.2,NA
Discoteuthis_laciniosa,2,0,0,1,0,0.152,0.819,0.163,0.169,-1.168,NA,NA,NA,NA,NA,NA,NA,NA,-1.54,-1.996,-1.956,NA,NA,0.382,0.323,CNS.3,NA,ML.3,NA
Egea_inermis,3,0,0,1,0,0.617,0.917,0.364,0.653,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.986,-1.013,NA,NA,-0.414,-0.13,CNS.1,-0.382,ML.1,1.157
Egea_inermis,3,0,0,1,0,0.617,0.917,0.364,0.653,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.986,-1.013,NA,NA,-0.414,-0.13,CNS.2,NA,ML.2,NA
Egea_inermis,3,0,0,1,0,0.617,0.917,0.364,0.653,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.986,-1.013,NA,NA,-0.414,-0.13,CNS.3,NA,ML.3,NA
